"290","1",,"ご座居る","ございる"
"291","5","k","ご前を退く","ごぜんをのく"
"292","5","r","ご免こうむる","ごめんこうむる"
"293","5","r","ご免被る","ごめんこうむる"
"294","5","aru","ご覧なさる","ごらんなさる"
"295","5","r","ご覧になる","ごらんになる"
"296","5","r","ご覧に成る","ごらんになる"
"297","1",,"ご覧に入れる","ごらんにいれる"
"298","5","s","さがし出す","さがしだす"
"299","1",,"ささくれる",
"300","5","t","ささげ持つ","ささげもつ"
"301","5","k","ささめく",
"302","5","k","さざめく",
"303","5","s","さし出す","さしだす"
"304","5","k","さし招く","さしまねく"
"305","5","k","させて頂く","させていただく"
"306","1",,"させる",
"307","5","k","さて置く","さておく"
"308","5","m","さばを読む","さばをよむ"
"309","5","s","さらけ出す","さらけだす"
"310","5","k","さんざめく",
"311","5","u","さ迷う","さまよう"
"312","1",,"さ迷える","さまよえる"
"313","5","k","ざざめく",
"314","5","k","ざらつく",
"315","1",,"ざらにいる",
"316","5","k","ざわつく",
"317","5","k","ざんざめく",
"318","5","k","しがみ付く","しがみつく"
"319","5","k","しくしく泣く","しくしくなく"
"320","5","r","しくじる",
"321","5","r","しくる",
"322","5","r","したがる",
"323","5","k-s","しっくり行く","しっくりいく"
"324","5","r-i","しつつある",
"325","5","u","しつつ行なう","しつつおこなう"
"326","1",,"して遣られる","してやられる"
"327","5","r","して遣る","してやる"
"328","5","r","しなを作る","しなをつくる"
"329","5","r","しのぎを削る","しのぎをけずる"
"330","5","k","しばく",
"331","5","m","しまい込む","しまいこむ"
"332","1",,"しみったれる",
"333","5","m","しみ込む","しみこむ"
"334","5","s","しみ出す","しみだす"
"335","1",,"しみ出る","しみでる"
"336","1",,"しめる",
"337","5","m","しゃがみ込む","しゃがみこむ"
"338","5","m","しゃがむ",
"339","5","r","しゃくに障る","しゃくにさわる"
"340","1",,"しゃくり上げる","しゃくりあげる"
"341","1",,"しゃしゃり出る","しゃしゃりでる"
"342","5","r","しゃちほこ張る","しゃちほこばる"
"343","5","r","しゃぶる",
"344","1",,"しょぼくれる",
"345","1",,"しょんべんをたれる",
"346","1",,"しらばくれる",
"347","1",,"しらばっくれる",
"348","5","r","しらを切る","しらをきる"
"349","5","u","しろと言う","しろという"
"350","1",,"しわを寄せる","しわをよせる"
"351","1",,"し過ぎる","しすぎる"
"352","1",,"し慣れる","しなれる"
"353","1",,"し兼ねる","しかねる"
"354","5","u","し合う","しあう"
"355","1",,"し始める","しはじめる"
"356","1",,"し終える","しおえる"
"357","5","k","し吹く","しぶく"
"358","1",,"し続ける","しつづける"
"359","1",,"し損じる","しそんじる"
"360","5","s","し直す","しなおす"
"361","5","m","じだんだを踏む","じだんだをふむ"
"362","1",,"じっと見る","じっとみる"
"363","5","s","じっと見返す","じっとみかえす"
"364","5","u","じまう",
"365","5","u","じゃう",
"366","5","k","じゃら付く","じゃらつく"
"367","1",,"じろじろ見る","じろじろみる"
"368","1",,"じろりと見る","じろりとみる"
"369","5","s","すかす",
"370","1",,"すくい上げる","すくいあげる"
"371","5","r","すくみ上がる","すくみあがる"
"372","5","k","すすり泣く","すすりなく"
"373","5","m","すっこむ",
"374","5","k","すっぱ抜く","すっぱぬく"
"375","5","s","すっぽかす",
"376","1",,"すっぽ抜ける","すっぽぬける"
"377","5","b","すっ転ぶ","すっころぶ"
"378","5","b","すっ飛ぶ","すっとぶ"
"379","5","m","すまし込む","すましこむ"
"380","5","r","すり寄る","すりよる"
"381","5","s","すり減らす","すりへらす"
"382","5","r","すり減る","すりへる"
"383","1",,"すり合わせる","すりあわせる"
"384","5","m","すり込む","すりこむ"
"385","5","m","すり込む","すりこむ"
"386","1",,"すり替える","すりかえる"
"387","5","s","すり潰す","すりつぶす"
"388","1",,"すり抜ける","すりぬける"
"389","1",,"すり付ける","すりつける"
"390","5","u","すれ違う","すれちがう"
"391","1",,"ずっこける",
"392","5","u","ずばずば言う","ずばずばいう"
"393","1",,"ずば抜ける","ずばぬける"
"394","5","r","ずらかる",
"395","5","r","ずり下がる","ずりさがる"
"396","5","r","ずり上がる","ずりあがる"
"397","1",,"ずり落ちる","ずりおちる"
"398","1",,"ずれる",
"399","5","m","ずれ込む","ずれこむ"
"400","5","m","せがむ",
"401","5","r","せきを切る","せきをきる"
"402","1",,"せき止める","せきとめる"
"403","1",,"せき立てる","せきたてる"
"404","1",,"せしめる",
"405","5","g","せせらぐ",
"406","5","u","せせら笑う","せせらわらう"
"407","5","r","せせる",
"408","5","r","せびる",
"409","5","r","せぶる",
"410","5","u","せよと言う","せよという"
"411","1",,"せられる",
"412","5","s","せり出す","せりだす"
"413","1",,"せる",
"414","1",,"そうとも言える","そうともいえる"
"415","5","s","そぎ落とす","そぎおとす"
"416","5","u","そぐう",
"417","1",,"そそける",
"418","5","t","そそけ立つ","そそけだつ"
"419","1",,"そそられる",
"420","5","r","そっくり返る","そっくりかえる"
"421","5","k","そっぽを向く","そっぽをむく"
